Count of elements - 10000
Car:   fuel tank capacity: 356; fuel consumption: 25; max speed: 293; max distance: 14
Truck: fuel tank capacity: 743; fuel consumption: 711; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 315; fuel consumption: 127; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 237; fuel consumption: 118; lifting capacity: 0; max distance: 2
Bus:   fuel tank capacity: 277; fuel consumption: 968; max passengers: 790; max distance: 0
Bus:   fuel tank capacity: 735; fuel consumption: 143; max passengers: 622; max distance: 5
Bus:   fuel tank capacity: 131; fuel consumption: 845; max passengers: 168; max distance: 0
Car:   fuel tank capacity: 886; fuel consumption: 498; max speed: 462; max distance: 1
Truck: fuel tank capacity: 241; fuel consumption: 196; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 117; fuel consumption: 317; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 598; fuel consumption: 879; max passengers: 899; max distance: 0
Truck: fuel tank capacity: 864; fuel consumption: 805; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 28; fuel consumption: 556; max speed: 739; max distance: 0
Car:   fuel tank capacity: 717; fuel consumption: 9; max speed: 701; max distance: 79
Bus:   fuel tank capacity: 252; fuel consumption: 519; max passengers: 134; max distance: 0
Car:   fuel tank capacity: 411; fuel consumption: 123; max speed: 327; max distance: 3
Car:   fuel tank capacity: 716; fuel consumption: 565; max speed: 404; max distance: 1
Truck: fuel tank capacity: 670; fuel consumption: 112; lifting capacity: 0; max distance: 5
Bus:   fuel tank capacity: 591; fuel consumption: 935; max passengers: 197; max distance: 0
Car:   fuel tank capacity: 61; fuel consumption: 331; max speed: 638; max distance: 0
Truck: fuel tank capacity: 795; fuel consumption: 831; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 908; fuel consumption: 844; max passengers: 62; max distance: 1
Truck: fuel tank capacity: 230; fuel consumption: 154; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 628; fuel consumption: 25; max speed: 493; max distance: 25
Car:   fuel tank capacity: 946; fuel consumption: 157; max speed: 639; max distance: 6
Car:   fuel tank capacity: 272; fuel consumption: 234; max speed: 385; max distance: 1
Bus:   fuel tank capacity: 311; fuel consumption: 592; max passengers: 113; max distance: 0
Car:   fuel tank capacity: 75; fuel consumption: 642; max speed: 528; max distance: 0
Bus:   fuel tank capacity: 524; fuel consumption: 114; max passengers: 187; max distance: 4
Car:   fuel tank capacity: 399; fuel consumption: 298; max speed: 740; max distance: 1
Truck: fuel tank capacity: 763; fuel consumption: 633; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 859; fuel consumption: 856; max speed: 856; max distance: 1
Bus:   fuel tank capacity: 82; fuel consumption: 565; max passengers: 596; max distance: 0
Truck: fuel tank capacity: 810; fuel consumption: 358; lifting capacity: 0; max distance: 2
Bus:   fuel tank capacity: 810; fuel consumption: 687; max passengers: 260; max distance: 1
Truck: fuel tank capacity: 143; fuel consumption: 788; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 565; fuel consumption: 711; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 996; fuel consumption: 708; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 82; fuel consumption: 564; max passengers: 454; max distance: 0
Truck: fuel tank capacity: 357; fuel consumption: 986; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 818; fuel consumption: 115; lifting capacity: 0; max distance: 7
Bus:   fuel tank capacity: 694; fuel consumption: 44; max passengers: 707; max distance: 15
Truck: fuel tank capacity: 144; fuel consumption: 203; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 799; fuel consumption: 822; max passengers: 780; max distance: 0
Bus:   fuel tank capacity: 129; fuel consumption: 505; max passengers: 781; max distance: 0
Bus:   fuel tank capacity: 655; fuel consumption: 486; max passengers: 248; max distance: 1
Bus:   fuel tank capacity: 953; fuel consumption: 203; max passengers: 710; max distance: 4
Car:   fuel tank capacity: 684; fuel consumption: 699; max speed: 875; max distance: 0
Truck: fuel tank capacity: 787; fuel consumption: 953; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 49; fuel consumption: 526; max passengers: 720; max distance: 0
Truck: fuel tank capacity: 389; fuel consumption: 501; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 660; fuel consumption: 213; max passengers: 784; max distance: 3
Car:   fuel tank capacity: 934; fuel consumption: 374; max speed: 349; max distance: 2
Car:   fuel tank capacity: 10; fuel consumption: 785; max speed: 651; max distance: 0
Truck: fuel tank capacity: 381; fuel consumption: 489; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 619; fuel consumption: 156; max speed: 928; max distance: 3
Bus:   fuel tank capacity: 600; fuel consumption: 594; max passengers: 670; max distance: 1
Car:   fuel tank capacity: 544; fuel consumption: 638; max speed: 474; max distance: 0
Truck: fuel tank capacity: 353; fuel consumption: 747; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 21; fuel consumption: 159; max passengers: 315; max distance: 0
Bus:   fuel tank capacity: 169; fuel consumption: 683; max passengers: 214; max distance: 0
Truck: fuel tank capacity: 66; fuel consumption: 211; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 455; fuel consumption: 340; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 605; fuel consumption: 669; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 667; fuel consumption: 449; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 418; fuel consumption: 692; max passengers: 915; max distance: 0
Car:   fuel tank capacity: 46; fuel consumption: 504; max speed: 818; max distance: 0
Truck: fuel tank capacity: 782; fuel consumption: 634; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 627; fuel consumption: 638; max speed: 597; max distance: 0
Bus:   fuel tank capacity: 424; fuel consumption: 762; max passengers: 79; max distance: 0
Truck: fuel tank capacity: 66; fuel consumption: 748; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 682; fuel consumption: 293; max speed: 693; max distance: 2
Truck: fuel tank capacity: 724; fuel consumption: 991; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 505; fuel consumption: 194; max speed: 671; max distance: 2
Car:   fuel tank capacity: 875; fuel consumption: 465; max speed: 580; max distance: 1
Car:   fuel tank capacity: 2; fuel consumption: 939; max speed: 195; max distance: 0
Car:   fuel tank capacity: 103; fuel consumption: 776; max speed: 87; max distance: 0
Bus:   fuel tank capacity: 117; fuel consumption: 3; max passengers: 975; max distance: 39
Car:   fuel tank capacity: 231; fuel consumption: 729; max speed: 968; max distance: 0
Truck: fuel tank capacity: 916; fuel consumption: 751; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 458; fuel consumption: 401; max speed: 836; max distance: 1
Bus:   fuel tank capacity: 547; fuel consumption: 881; max passengers: 231; max distance: 0
Car:   fuel tank capacity: 869; fuel consumption: 722; max speed: 115; max distance: 1
Car:   fuel tank capacity: 297; fuel consumption: 943; max speed: 484; max distance: 0
Bus:   fuel tank capacity: 800; fuel consumption: 564; max passengers: 292; max distance: 1
Car:   fuel tank capacity: 455; fuel consumption: 458; max speed: 987; max distance: 0
Truck: fuel tank capacity: 41; fuel consumption: 412; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 423; fuel consumption: 839; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 487; fuel consumption: 314; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 884; fuel consumption: 234; lifting capacity: 0; max distance: 3
Truck: fuel tank capacity: 441; fuel consumption: 996; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 306; fuel consumption: 133; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 109; fuel consumption: 55; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 704; fuel consumption: 24; max speed: 172; max distance: 29
Car:   fuel tank capacity: 608; fuel consumption: 263; max speed: 868; max distance: 2
Car:   fuel tank capacity: 669; fuel consumption: 746; max speed: 498; max distance: 0
Bus:   fuel tank capacity: 453; fuel consumption: 101; max passengers: 868; max distance: 4
Car:   fuel tank capacity: 75; fuel consumption: 187; max speed: 842; max distance: 0
Car:   fuel tank capacity: 54; fuel consumption: 714; max speed: 800; max distance: 0
Bus:   fuel tank capacity: 203; fuel consumption: 91; max passengers: 764; max distance: 2
Bus:   fuel tank capacity: 50; fuel consumption: 820; max passengers: 605; max distance: 0
Bus:   fuel tank capacity: 124; fuel consumption: 518; max passengers: 370; max distance: 0
Car:   fuel tank capacity: 556; fuel consumption: 970; max speed: 34; max distance: 0
Bus:   fuel tank capacity: 643; fuel consumption: 848; max passengers: 600; max distance: 0
Truck: fuel tank capacity: 139; fuel consumption: 984; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 963; fuel consumption: 402; lifting capacity: 0; max distance: 2
Car:   fuel tank capacity: 272; fuel consumption: 792; max speed: 929; max distance: 0
Truck: fuel tank capacity: 949; fuel consumption: 980; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 890; fuel consumption: 524; max passengers: 631; max distance: 1
Car:   fuel tank capacity: 838; fuel consumption: 213; max speed: 435; max distance: 3
Bus:   fuel tank capacity: 148; fuel consumption: 679; max passengers: 460; max distance: 0
Bus:   fuel tank capacity: 645; fuel consumption: 957; max passengers: 480; max distance: 0
Car:   fuel tank capacity: 638; fuel consumption: 259; max speed: 558; max distance: 2
Truck: fuel tank capacity: 428; fuel consumption: 447; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 888; fuel consumption: 65; max speed: 167; max distance: 13
Bus:   fuel tank capacity: 742; fuel consumption: 817; max passengers: 105; max distance: 0
Bus:   fuel tank capacity: 129; fuel consumption: 422; max passengers: 492; max distance: 0
Truck: fuel tank capacity: 488; fuel consumption: 424; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 62; fuel consumption: 259; max passengers: 826; max distance: 0
Car:   fuel tank capacity: 791; fuel consumption: 334; max speed: 220; max distance: 2
Bus:   fuel tank capacity: 502; fuel consumption: 360; max passengers: 42; max distance: 1
Car:   fuel tank capacity: 99; fuel consumption: 921; max speed: 742; max distance: 0
Bus:   fuel tank capacity: 810; fuel consumption: 189; max passengers: 745; max distance: 4
Truck: fuel tank capacity: 573; fuel consumption: 791; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 201; fuel consumption: 531; max passengers: 886; max distance: 0
Car:   fuel tank capacity: 410; fuel consumption: 98; max speed: 68; max distance: 4
Truck: fuel tank capacity: 174; fuel consumption: 610; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 642; fuel consumption: 704; max speed: 246; max distance: 0
Truck: fuel tank capacity: 874; fuel consumption: 877; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 562; fuel consumption: 444; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 337; fuel consumption: 321; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 33; fuel consumption: 40; max speed: 80; max distance: 0
Car:   fuel tank capacity: 590; fuel consumption: 165; max speed: 647; max distance: 3
Truck: fuel tank capacity: 808; fuel consumption: 941; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 352; fuel consumption: 708; max passengers: 492; max distance: 0
Truck: fuel tank capacity: 112; fuel consumption: 573; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 787; fuel consumption: 149; lifting capacity: 0; max distance: 5
Car:   fuel tank capacity: 773; fuel consumption: 593; max speed: 390; max distance: 1
Car:   fuel tank capacity: 94; fuel consumption: 994; max speed: 123; max distance: 0
Bus:   fuel tank capacity: 485; fuel consumption: 466; max passengers: 294; max distance: 1
Truck: fuel tank capacity: 417; fuel consumption: 966; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 894; fuel consumption: 916; max speed: 843; max distance: 0
Bus:   fuel tank capacity: 423; fuel consumption: 367; max passengers: 591; max distance: 1
Truck: fuel tank capacity: 934; fuel consumption: 2; lifting capacity: 0; max distance: 467
Car:   fuel tank capacity: 8; fuel consumption: 937; max speed: 102; max distance: 0
Bus:   fuel tank capacity: 466; fuel consumption: 716; max passengers: 157; max distance: 0
Bus:   fuel tank capacity: 88; fuel consumption: 448; max passengers: 76; max distance: 0
Car:   fuel tank capacity: 204; fuel consumption: 298; max speed: 358; max distance: 0
Car:   fuel tank capacity: 239; fuel consumption: 472; max speed: 712; max distance: 0
Truck: fuel tank capacity: 427; fuel consumption: 763; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 667; fuel consumption: 849; max speed: 217; max distance: 0
Bus:   fuel tank capacity: 902; fuel consumption: 535; max passengers: 136; max distance: 1
Truck: fuel tank capacity: 854; fuel consumption: 81; lifting capacity: 0; max distance: 10
Bus:   fuel tank capacity: 363; fuel consumption: 68; max passengers: 76; max distance: 5
Truck: fuel tank capacity: 53; fuel consumption: 955; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 536; fuel consumption: 742; max speed: 100; max distance: 0
Truck: fuel tank capacity: 264; fuel consumption: 1; lifting capacity: 0; max distance: 264
Bus:   fuel tank capacity: 115; fuel consumption: 449; max passengers: 751; max distance: 0
Car:   fuel tank capacity: 172; fuel consumption: 914; max speed: 747; max distance: 0
Bus:   fuel tank capacity: 181; fuel consumption: 409; max passengers: 779; max distance: 0
Bus:   fuel tank capacity: 555; fuel consumption: 693; max passengers: 952; max distance: 0
Bus:   fuel tank capacity: 688; fuel consumption: 939; max passengers: 525; max distance: 0
Truck: fuel tank capacity: 880; fuel consumption: 675; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 122; fuel consumption: 955; max speed: 267; max distance: 0
Truck: fuel tank capacity: 637; fuel consumption: 858; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 563; fuel consumption: 538; max passengers: 341; max distance: 1
Bus:   fuel tank capacity: 749; fuel consumption: 180; max passengers: 629; max distance: 4
Bus:   fuel tank capacity: 395; fuel consumption: 357; max passengers: 673; max distance: 1
Bus:   fuel tank capacity: 544; fuel consumption: 158; max passengers: 877; max distance: 3
Car:   fuel tank capacity: 388; fuel consumption: 558; max speed: 685; max distance: 0
Bus:   fuel tank capacity: 71; fuel consumption: 988; max passengers: 642; max distance: 0
Truck: fuel tank capacity: 60; fuel consumption: 293; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 87; fuel consumption: 180; max passengers: 756; max distance: 0
Car:   fuel tank capacity: 88; fuel consumption: 73; max speed: 866; max distance: 1
Truck: fuel tank capacity: 285; fuel consumption: 4; lifting capacity: 0; max distance: 71
Bus:   fuel tank capacity: 43; fuel consumption: 515; max passengers: 507; max distance: 0
Truck: fuel tank capacity: 828; fuel consumption: 872; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 859; fuel consumption: 212; lifting capacity: 0; max distance: 4
Truck: fuel tank capacity: 679; fuel consumption: 399; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 936; fuel consumption: 75; lifting capacity: 0; max distance: 12
Car:   fuel tank capacity: 163; fuel consumption: 784; max speed: 884; max distance: 0
Truck: fuel tank capacity: 33; fuel consumption: 366; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 854; fuel consumption: 224; max speed: 109; max distance: 3
Car:   fuel tank capacity: 541; fuel consumption: 795; max speed: 730; max distance: 0
Bus:   fuel tank capacity: 386; fuel consumption: 565; max passengers: 284; max distance: 0
Truck: fuel tank capacity: 132; fuel consumption: 995; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 504; fuel consumption: 733; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 432; fuel consumption: 924; max passengers: 606; max distance: 0
Car:   fuel tank capacity: 454; fuel consumption: 47; max speed: 161; max distance: 9
Truck: fuel tank capacity: 249; fuel consumption: 212; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 767; fuel consumption: 129; max speed: 559; max distance: 5
Truck: fuel tank capacity: 463; fuel consumption: 130; lifting capacity: 0; max distance: 3
Car:   fuel tank capacity: 262; fuel consumption: 304; max speed: 776; max distance: 0
Bus:   fuel tank capacity: 13; fuel consumption: 762; max passengers: 217; max distance: 0
Car:   fuel tank capacity: 101; fuel consumption: 903; max speed: 657; max distance: 0
Truck: fuel tank capacity: 324; fuel consumption: 429; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 229; fuel consumption: 559; max passengers: 159; max distance: 0
Bus:   fuel tank capacity: 330; fuel consumption: 377; max passengers: 308; max distance: 0
Car:   fuel tank capacity: 430; fuel consumption: 547; max speed: 710; max distance: 0
Bus:   fuel tank capacity: 835; fuel consumption: 270; max passengers: 328; max distance: 3
Truck: fuel tank capacity: 702; fuel consumption: 587; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 432; fuel consumption: 694; max passengers: 228; max distance: 0
Bus:   fuel tank capacity: 161; fuel consumption: 235; max passengers: 381; max distance: 0
Truck: fuel tank capacity: 739; fuel consumption: 312; lifting capacity: 0; max distance: 2
Bus:   fuel tank capacity: 83; fuel consumption: 746; max passengers: 336; max distance: 0
Truck: fuel tank capacity: 170; fuel consumption: 866; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 475; fuel consumption: 749; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 21; fuel consumption: 967; max speed: 241; max distance: 0
Bus:   fuel tank capacity: 343; fuel consumption: 968; max passengers: 242; max distance: 0
Car:   fuel tank capacity: 74; fuel consumption: 486; max speed: 50; max distance: 0
Car:   fuel tank capacity: 633; fuel consumption: 757; max speed: 69; max distance: 0
Truck: fuel tank capacity: 80; fuel consumption: 386; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 996; fuel consumption: 535; max passengers: 875; max distance: 1
Car:   fuel tank capacity: 439; fuel consumption: 509; max speed: 193; max distance: 0
Truck: fuel tank capacity: 880; fuel consumption: 176; lifting capacity: 0; max distance: 5
Bus:   fuel tank capacity: 63; fuel consumption: 857; max passengers: 396; max distance: 0
Truck: fuel tank capacity: 923; fuel consumption: 454; lifting capacity: 0; max distance: 2
Car:   fuel tank capacity: 421; fuel consumption: 407; max speed: 579; max distance: 1
Truck: fuel tank capacity: 49; fuel consumption: 216; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 434; fuel consumption: 72; max passengers: 302; max distance: 6
Truck: fuel tank capacity: 449; fuel consumption: 231; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 225; fuel consumption: 538; max speed: 735; max distance: 0
Car:   fuel tank capacity: 874; fuel consumption: 733; max speed: 620; max distance: 1
Truck: fuel tank capacity: 903; fuel consumption: 587; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 543; fuel consumption: 115; max passengers: 798; max distance: 4
Truck: fuel tank capacity: 686; fuel consumption: 300; lifting capacity: 0; max distance: 2
Bus:   fuel tank capacity: 253; fuel consumption: 564; max passengers: 249; max distance: 0
Bus:   fuel tank capacity: 882; fuel consumption: 145; max passengers: 539; max distance: 6
Car:   fuel tank capacity: 751; fuel consumption: 562; max speed: 937; max distance: 1
Car:   fuel tank capacity: 303; fuel consumption: 636; max speed: 405; max distance: 0
Bus:   fuel tank capacity: 832; fuel consumption: 396; max passengers: 747; max distance: 2
Truck: fuel tank capacity: 438; fuel consumption: 462; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 691; fuel consumption: 9; max speed: 764; max distance: 76
Bus:   fuel tank capacity: 309; fuel consumption: 300; max passengers: 614; max distance: 1
Truck: fuel tank capacity: 23; fuel consumption: 380; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 552; fuel consumption: 597; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 711; fuel consumption: 745; max speed: 7; max distance: 0
Car:   fuel tank capacity: 953; fuel consumption: 683; max speed: 141; max distance: 1
Truck: fuel tank capacity: 233; fuel consumption: 820; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 229; fuel consumption: 806; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 642; fuel consumption: 434; max passengers: 726; max distance: 1
Bus:   fuel tank capacity: 448; fuel consumption: 428; max passengers: 249; max distance: 1
Truck: fuel tank capacity: 805; fuel consumption: 980; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 493; fuel consumption: 390; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 233; fuel consumption: 705; max speed: 566; max distance: 0
Bus:   fuel tank capacity: 417; fuel consumption: 469; max passengers: 532; max distance: 0
Truck: fuel tank capacity: 14; fuel consumption: 951; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 59; fuel consumption: 1000; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 379; fuel consumption: 982; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 795; fuel consumption: 363; lifting capacity: 0; max distance: 2
Bus:   fuel tank capacity: 213; fuel consumption: 465; max passengers: 655; max distance: 0
Bus:   fuel tank capacity: 745; fuel consumption: 655; max passengers: 682; max distance: 1
Bus:   fuel tank capacity: 834; fuel consumption: 263; max passengers: 903; max distance: 3
Bus:   fuel tank capacity: 638; fuel consumption: 747; max passengers: 853; max distance: 0
Bus:   fuel tank capacity: 224; fuel consumption: 782; max passengers: 352; max distance: 0
Truck: fuel tank capacity: 951; fuel consumption: 69; lifting capacity: 0; max distance: 13
Bus:   fuel tank capacity: 465; fuel consumption: 585; max passengers: 480; max distance: 0
Truck: fuel tank capacity: 822; fuel consumption: 743; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 93; fuel consumption: 612; max speed: 699; max distance: 0
Bus:   fuel tank capacity: 873; fuel consumption: 567; max passengers: 391; max distance: 1
Truck: fuel tank capacity: 808; fuel consumption: 48; lifting capacity: 0; max distance: 16
Truck: fuel tank capacity: 672; fuel consumption: 385; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 860; fuel consumption: 447; max speed: 67; max distance: 1
Bus:   fuel tank capacity: 64; fuel consumption: 128; max passengers: 793; max distance: 0
Car:   fuel tank capacity: 540; fuel consumption: 200; max speed: 183; max distance: 2
Car:   fuel tank capacity: 441; fuel consumption: 653; max speed: 347; max distance: 0
Truck: fuel tank capacity: 354; fuel consumption: 818; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 207; fuel consumption: 780; max speed: 441; max distance: 0
Bus:   fuel tank capacity: 470; fuel consumption: 275; max passengers: 27; max distance: 1
Truck: fuel tank capacity: 357; fuel consumption: 659; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 840; fuel consumption: 462; max passengers: 296; max distance: 1
Car:   fuel tank capacity: 944; fuel consumption: 423; max speed: 803; max distance: 2
Car:   fuel tank capacity: 283; fuel consumption: 677; max speed: 167; max distance: 0
Car:   fuel tank capacity: 499; fuel consumption: 693; max speed: 279; max distance: 0
Bus:   fuel tank capacity: 556; fuel consumption: 53; max passengers: 308; max distance: 10
Car:   fuel tank capacity: 28; fuel consumption: 842; max speed: 882; max distance: 0
Bus:   fuel tank capacity: 48; fuel consumption: 687; max passengers: 167; max distance: 0
Car:   fuel tank capacity: 814; fuel consumption: 151; max speed: 11; max distance: 5
Car:   fuel tank capacity: 533; fuel consumption: 713; max speed: 164; max distance: 0
Truck: fuel tank capacity: 252; fuel consumption: 55; lifting capacity: 0; max distance: 4
Car:   fuel tank capacity: 275; fuel consumption: 257; max speed: 937; max distance: 1
Bus:   fuel tank capacity: 797; fuel consumption: 423; max passengers: 731; max distance: 1
Bus:   fuel tank capacity: 430; fuel consumption: 978; max passengers: 297; max distance: 0
Truck: fuel tank capacity: 385; fuel consumption: 118; lifting capacity: 0; max distance: 3
Truck: fuel tank capacity: 522; fuel consumption: 925; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 341; fuel consumption: 942; max passengers: 141; max distance: 0
Truck: fuel tank capacity: 965; fuel consumption: 66; lifting capacity: 0; max distance: 14
Bus:   fuel tank capacity: 733; fuel consumption: 72; max passengers: 87; max distance: 10
Bus:   fuel tank capacity: 758; fuel consumption: 80; max passengers: 931; max distance: 9
Car:   fuel tank capacity: 215; fuel consumption: 643; max speed: 272; max distance: 0
Car:   fuel tank capacity: 372; fuel consumption: 283; max speed: 948; max distance: 1
Truck: fuel tank capacity: 283; fuel consumption: 451; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 385; fuel consumption: 295; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 86; fuel consumption: 648; max speed: 76; max distance: 0
Bus:   fuel tank capacity: 232; fuel consumption: 799; max passengers: 675; max distance: 0
Car:   fuel tank capacity: 105; fuel consumption: 665; max speed: 447; max distance: 0
Bus:   fuel tank capacity: 654; fuel consumption: 846; max passengers: 562; max distance: 0
Bus:   fuel tank capacity: 753; fuel consumption: 368; max passengers: 909; max distance: 2
Bus:   fuel tank capacity: 16; fuel consumption: 618; max passengers: 995; max distance: 0
Truck: fuel tank capacity: 933; fuel consumption: 955; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 506; fuel consumption: 321; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 335; fuel consumption: 601; max speed: 601; max distance: 0
Bus:   fuel tank capacity: 279; fuel consumption: 37; max passengers: 761; max distance: 7
Truck: fuel tank capacity: 218; fuel consumption: 957; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 175; fuel consumption: 41; max passengers: 949; max distance: 4
Bus:   fuel tank capacity: 510; fuel consumption: 623; max passengers: 502; max distance: 0
Car:   fuel tank capacity: 560; fuel consumption: 198; max speed: 355; max distance: 2
Car:   fuel tank capacity: 14; fuel consumption: 747; max speed: 273; max distance: 0
Bus:   fuel tank capacity: 442; fuel consumption: 732; max passengers: 809; max distance: 0
Truck: fuel tank capacity: 358; fuel consumption: 343; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 738; fuel consumption: 195; max speed: 534; max distance: 3
Truck: fuel tank capacity: 223; fuel consumption: 770; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 344; fuel consumption: 307; max passengers: 499; max distance: 1
Car:   fuel tank capacity: 507; fuel consumption: 282; max speed: 386; max distance: 1
Car:   fuel tank capacity: 590; fuel consumption: 89; max speed: 880; max distance: 6
Car:   fuel tank capacity: 949; fuel consumption: 434; max speed: 75; max distance: 2
Truck: fuel tank capacity: 548; fuel consumption: 955; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 507; fuel consumption: 524; max speed: 488; max distance: 0
Truck: fuel tank capacity: 616; fuel consumption: 295; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 114; fuel consumption: 370; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 602; fuel consumption: 568; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 436; fuel consumption: 369; max passengers: 736; max distance: 1
Bus:   fuel tank capacity: 684; fuel consumption: 742; max passengers: 333; max distance: 0
Car:   fuel tank capacity: 725; fuel consumption: 403; max speed: 647; max distance: 1
Car:   fuel tank capacity: 67; fuel consumption: 386; max speed: 530; max distance: 0
Truck: fuel tank capacity: 385; fuel consumption: 670; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 639; fuel consumption: 395; max passengers: 752; max distance: 1
Bus:   fuel tank capacity: 822; fuel consumption: 744; max passengers: 428; max distance: 1
Bus:   fuel tank capacity: 930; fuel consumption: 980; max passengers: 175; max distance: 0
Car:   fuel tank capacity: 472; fuel consumption: 891; max speed: 184; max distance: 0
Car:   fuel tank capacity: 173; fuel consumption: 389; max speed: 348; max distance: 0
Bus:   fuel tank capacity: 489; fuel consumption: 320; max passengers: 314; max distance: 1
Truck: fuel tank capacity: 161; fuel consumption: 220; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 555; fuel consumption: 435; max speed: 802; max distance: 1
Truck: fuel tank capacity: 700; fuel consumption: 774; lifting capacity: 0; max distance: 0
